Language_ID,Name,Glottocode,Latitude,Longitude,elevation_m
lele1264,Lelemi,lele1264,7.34549,0.50746,526.0
peve1243,Peve,peve1243,9.16111,14.441,326.0
lush1252,Northern Lushootseed,lush1252,48.42,-122.529,78.0
maxa1247,Maxakalí,maxa1247,-16.9402,-40.7891,302.0
came1252,Donga Mambila,came1252,6.43829,11.41953,779.0
mbum1254,Mbum,mbum1254,7.5789,14.2722,832.0
maba1277,Maba (Chad),maba1277,12.89147,20.8889,504.0
dizi1235,Dizin,dizi1235,6.1405,35.5763,2088.0
mbaa1245,Mba,mbaa1245,1.06885,25.143,446.0
mogh1245,Mogholi,mogh1245,34.2504,62.2802,941.0
tuuu1240,Tu,tuuu1240,36.8177,102.117,2741.0
manc1252,Manchu,manc1252,47.3122,126.557,189.0
morb1239,Mor (Bomberai Peninsula),morb1239,-2.85747,132.845,28.0
moro1285,Moro,moro1285,10.9194,30.2138,735.0
mull1237,Mullukmulluk,mull1237,-13.2973,130.615,40.0
dadi1250,Dadibi,dadi1250,-6.65765,144.511,1260.0
west2600,West Makian,west2600,0.45332,127.63,379.0
mara1404,Maranao,mara1404,7.79414,124.175,982.0
toto1305,Totontepec Mixe,toto1305,17.2157,-96.0179,1385.0
murl1244,Murle,murl1244,6.69756,33.988,446.0
murr1258,Murriny Patha,murr1258,-14.74852,129.70152,5.0
kala1377,Kala Lagaw Ya,kala1377,-10.6748,142.196,146.0
pira1253,Pirahã,pira1253,-6.77713,-61.8167,78.0
nucl1240,Mumuye,nucl1240,8.90347,11.71545,542.0
movi1243,Movima,movi1243,-13.8115,-65.6348,146.0
sout2994,Southern Nambikuára,sout2994,-14.3707,-59.5187,688.0
minn1241,Min Nan Chinese,minn1241,24.5,118.17,34.0
nama1264,Nama (Namibia),nama1264,-25.0747,17.9767,1168.0
naxi1245,Naxi,naxi1245,27.5,100.0,3603.0
nort2957,Northern Puebla Nahuatl,nort2957,20.1356,-97.9814,1486.0
ndut1239,Ndut,ndut1239,14.925,-16.9811,32.0
east1436,Eastern Pahari,east1436,27.5947033333,87.6200833333,3203.0
newa1246,Kathmandu Valley Newari,newa1246,27.2614,84.9577,288.0
ngiz1242,Ngizim,ngiz1242,12.1051,11.0178,356.0
noon1243,Noone,noon1243,6.37256,10.5707,1287.0
niel1243,Niellim,niel1243,9.70362,17.81346,354.0
ngan1291,Nganasan,ngan1291,73.1354,86.2106,52.0
nucl1633,Nimboran,nucl1633,-2.5803,140.179,62.0
aona1235,Ao Naga,aona1235,26.3241,94.3824,582.0
nara1262,Nara,nara1262,15.3251,37.499,793.0
nung1283,Nung (Viet Nam),nung1283,20.8965,104.286,705.0
amas1236,Ama (Sudan),amas1236,12.0993,29.4332,695.0
nyan1313,Nyang'i,nyan1313,3.4997,33.73651,1364.0
ogbi1239,Ogbia,ogbi1239,4.75352,6.34034,18.0
ormu1247,Ormuri,ormu1247,32.6819,69.3444,2275.0
paco1243,Pacoh,paco1243,16.3353,107.094,785.0
pech1241,Pech,pech1241,15.8033,-85.558,379.0
enap1235,Panare,enap1235,6.95035,-65.8483,52.0
pohn1238,Pohnpeian,pohn1238,6.87212,158.223,526.0
para1301,South Wa,para1301,22.8658,99.375,1901.0
paiw1248,Paiwan,paiw1248,22.3271,120.806,601.0
pwon1235,Pwo Northern Karen,pwon1235,18.016,98.2709,1088.0
quil1240,Quileute,quil1240,47.9106,-124.603,12.0
resi1247,Resígaro,resi1247,-2.48139,-71.3578,128.0
roto1249,Rotokas,roto1249,-5.94339,155.154,288.0
waim1251,Waima,waim1251,-8.67145,146.544,13.0
rutu1240,Rutul,rutu1240,41.6187,47.3244,2012.0
sand1273,Sandawe,sand1273,-5.26918,35.4808,1204.0
sang1328,Sango,sang1328,6.78584,20.1702,504.0
ceba1235,Cebaara Senoufo,ceba1235,9.50768,-6.15264,388.0
selk1253,Selkup,selk1253,59.9409,82.3004,82.0
nina1238,Ninam,nina1238,4.03894,-62.7801,557.0
tach1250,Tachelhit,tach1250,29.7854,-7.77879,942.0
shus1248,Shuswap,shus1248,50.8734,-119.667,649.0
shas1239,Shasta,shas1239,41.7587,-122.738,1119.0
epen1239,Epena,epen1239,4.25877,-77.3566,18.0
sout2985,Southern Sierra Miwok,sout2985,38.2363,-120.507,780.0
sali1298,Sáliba,sali1298,5.30115,-69.3843,122.0
sout2674,South Saami,sout2674,62.8801,13.7006,729.0
sion1247,Siona-Tetete,sion1247,0.31733,-76.0237,232.0
soqo1240,Soqotri,soqo1240,12.4892,53.9168,940.0
natu1246,Natügu,natu1246,-10.6771,165.835,0.0
suen1241,Suena,suen1241,-7.76339,147.534,101.0
savo1255,Savosavo,savo1255,-9.12853,159.814,377.0
suii1243,Sui,suii1243,24.0488,106.563,276.0
east2347,Eastern Tamang,east2347,27.3239,87.0832,1875.0
aika1237,Aikanã,aika1237,-12.6695,-60.5353,523.0
gaam1241,Gaam,gaam1241,11.4674,33.9797,939.0
tulu1258,Tulu,tulu1258,12.8114,75.2651,77.0
tehu1242,Tehuelche,tehu1242,-47.5796,-68.3235,296.0
timn1235,Timne,timn1235,8.90294,-12.3331,47.0
nucl1339,Temein,nucl1339,11.8275,29.3898,807.0
tetu1245,Tetum,tetu1245,-9.11217,125.528,329.0
tiga1245,Tigak,tiga1245,-2.70951,150.893,38.0
taha1241,Tahaggart Tamahaq,taha1241,22.5908,8.73169,759.0
tiwi1244,Tiwi,tiwi1244,-11.6308,130.949,66.0
tiru1241,Tiruray,tiru1241,6.77321,124.127,442.0
tlin1245,Tlingit,tlin1245,59.4447,-135.29,653.0
talo1250,Tasomi-Tata,talo1250,10.6453,30.4815,478.0
tama1331,Tama (Chad),tama1331,14.332,21.9951,1043.0
taca1256,Tacana,taca1256,-13.39249,-68.04056,202.0
